timestamp(ms),tracked,camPosX,camPosY,camPosZ,camRotX,camRotY,camRotZ,gazePosX,gazePosY,gazePosZ,gazeRotX,gazeRotY,gazeRotZ
8.9765,False,-4.5,1,2.5,0,180,0,0,0,0,0,0,0
10.9707,False,-4.5,1,2.5,0,180,0,0,0,0,0,0,0
1067.1995,False,-4.5,1,2.5,0,180,0,0,0,0,0,0,0
3935.4825,False,-4.424895,3.089146,2.813097,4.515802,179.8451,356.9286,0,0,0,0,0,0
3953.4347,True,-4.4428,3.087673,2.817219,6.385805,181.6752,359.5062,0.0009645539,0.001569572,0.02726068,6.493437,176.1753,119.038
3969.409,True,-4.446072,3.086859,2.817669,6.664347,181.8028,359.1683,0.0009454956,0.001654823,0.02718865,6.633777,176.4608,123.8773
3999.2697,True,-4.446571,3.086649,2.817802,6.816842,181.5159,358.9808,0.0009441528,0.001644791,0.02706286,6.337133,176.0033,115.5536
4011.7872,True,-4.447333,3.086287,2.818067,6.945539,181.1302,358.6151,0.0009582519,0.001562401,0.02703235,6.763483,176.0345,119.2707
4028.6051,True,-4.447924,3.08566,2.818251,6.803604,180.7584,358.1503,0.0009647522,0.001500374,0.02696571,6.896919,176.0695,120.6828
4045.2777,True,-4.448242,3.085876,2.818388,6.890711,180.844,358.2693,0.0009392929,0.001530975,0.02692275,6.709976,176.601,126.3101
4065.2472,True,-4.449572,3.085024,2.8189,6.958896,180.4365,357.8638,0.0009975204,0.001387093,0.02670298,7.40142,176.5254,129.7517
4084.1963,True,-4.450544,3.084491,2.819268,7.128093,180.3329,357.7083,0.001038971,0.001353294,0.02661279,7.148069,177.0081,134.6185
4104.0773,True,-4.450325,3.084846,2.819098,7.112255,180.4785,358.0421,0.001069511,0.001456779,0.02685239,7.082276,177.1149,135.7137
4122.2911,True,-4.451983,3.084585,2.819491,7.192268,180.4962,358.2822,0.001053963,0.001274948,0.02643557,7.105084,177.0157,134.4754
4140.2817,True,-4.452398,3.084518,2.81961,7.437412,180.5141,358.3953,0.001097221,0.0009208908,0.02569154,7.582315,176.9195,135.8275
