timestamp(ms),tracked,camPosX,camPosY,camPosZ,camRotX,camRotY,camRotZ,gazePosX,gazePosY,gazePosZ,gazeRotX,gazeRotY,gazeRotZ
16.9545,False,45.1,10,141.4,0,0,0,0,0,0,0,0,0
19.9473,False,45.1,10,141.4,0,0,0,0,0,0,0,0,0
1869.0946,False,45.1,10,141.4,0,0,0,0,0,0,0,0,0
6925.9091,False,45.1,10,141.4,0,0,0,0,0,0,0,0,0
6983.7549,True,41.6414,11.98808,142.7736,0.1771683,74.2553,358.996,-0.001130592,-0.0003321304,0.02481979,2.526454,185.8275,313.1522
7043.595,True,41.6414,11.98789,142.7733,0.2332434,74.32282,358.9503,-0.001123398,-0.0003346176,0.02480294,2.626094,185.6217,309.9495
7084.9922,True,41.64129,11.98761,142.7728,0.3203785,74.41686,358.8637,-0.001121666,-0.0003345642,0.02479287,2.612713,185.5667,309.7417
7108.9277,True,41.64127,11.98736,142.7724,0.4251721,74.53033,358.7369,-0.00111718,-0.0003280487,0.02479144,2.82463,185.3945,304.7509
7127.8767,True,41.64133,11.98722,142.772,0.5095701,74.6481,358.6291,-0.001113922,-0.0003248596,0.02479494,2.859479,185.3055,303.378
7142.8364,True,41.64136,11.98719,142.772,0.5204453,74.673,358.6245,-0.001111458,-0.0003176117,0.02479697,2.845954,185.2787,303.3626
7157.7968,True,41.64136,11.9871,142.7718,0.5513325,74.72171,358.6129,-0.001111092,-0.0003163834,0.02479741,2.87969,185.25,302.5326
7172.7565,True,41.64134,11.98708,142.7718,0.5491639,74.71769,358.6222,-0.001110016,-0.0003141098,0.02480092,2.862334,185.1933,302.3
7187.7165,True,41.64145,11.98693,142.7717,0.5880255,74.77821,358.6152,-0.001109329,-0.000308075,0.02481881,2.873028,185.1047,301.279
7203.6741,True,41.64146,11.98693,142.7717,0.5843732,74.78674,358.6228,-0.001107895,-0.000304985,0.02482414,2.909199,185.0927,300.5479
7218.6348,True,41.64147,11.98689,142.7716,0.5899567,74.80186,358.6256,-0.001106728,-0.0003020477,0.02483136,2.927649,184.9537,298.8543
7233.5938,True,41.64163,11.98674,142.7715,0.612487,74.84581,358.6352,-0.001104813,-0.0002989426,0.02483791,3.00199,184.9455,297.5037
7248.5539,True,41.64162,11.98676,142.7715,0.611514,74.8436,358.64,-0.001101624,-0.0002895508,0.02485381,2.970959,184.914,297.7066
7264.0219,True,41.64177,11.98667,142.7713,0.6634486,74.88004,358.6131,-0.001099228,-0.0002806397,0.02486162,2.894731,184.8569,298.4293
7278.9824,True,41.64177,11.98663,142.7714,0.6787408,74.87849,358.5818,-0.001096367,-0.0002781372,0.02485756,2.897921,184.7798,297.5635
7295.9366,True,41.64185,11.98658,142.7714,0.7191708,74.89025,358.5599,-0.001093903,-0.0002748795,0.02486255,2.897407,184.7794,297.5677
7310.8966,True,41.64206,11.98639,142.7714,0.8318942,74.91889,358.5265,-0.001091599,-0.0002770462,0.02485972,2.896255,184.6514,296.1996
7325.8571,True,41.64205,11.98633,142.7714,0.8585508,74.91306,358.5363,-0.001194557,-0.0004526062,0.02492405,2.254467,185.1294,312.5701
7341.814,True,41.64214,11.98618,142.7715,0.9307401,74.92557,358.5534,-0.001567322,-0.0009442749,0.02512654,353.8232,191.3447,57.02309
7357.7714,True,41.64241,11.98579,142.7714,1.164282,74.97347,358.5891,-0.001720688,-0.001171951,0.02505489,350.9378,192.0504,73.79973
7372.7314,True,41.64245,11.98569,142.7713,1.205042,74.99677,358.5802,-0.001833397,-0.00128228,0.02507001,348.5878,193.1726,81.74601
7389.6861,True,41.64298,11.98489,142.7711,1.558131,75.14654,358.5556,-0.00183152,-0.001295219,0.0250728,348.8384,192.7732,82.23979
7405.6436,True,41.64307,11.98468,142.771,1.638122,75.21099,358.5361,-0.001830742,-0.001285339,0.02507458,348.865,192.8528,81.74861
7421.6009,True,41.64377,11.98343,142.7706,2.190384,75.52308,358.4798,-0.00183638,-0.001282364,0.02507458,349.0011,192.7733,81.40161
7437.5585,True,41.64394,11.98323,142.7704,2.288636,75.59846,358.4717,-0.001831345,-0.001265442,0.02507384,349.2449,192.7125,80.39781
7452.5186,True,41.64442,11.98262,142.77,2.550391,75.7972,358.4497,-0.001835617,-0.001228806,0.02507547,349.5874,192.6806,78.70643
7467.4787,True,41.64595,11.98094,142.7688,3.29132,76.49981,358.4142,-0.001889244,-0.00119677,0.02507547,350.3987,192.1779,76.42641
7482.4383,True,41.64623,11.98087,142.7683,3.32011,76.78946,358.4612,-0.001911934,-0.001187187,0.02507117,350.3105,191.7868,78.78044
7498.3955,True,41.64825,11.97897,142.766,4.132732,78.2151,358.5585,-0.001929756,-0.001171776,0.02507532,350.9083,191.4122,77.01865
7514.353,True,41.6484,11.97888,142.7654,4.182681,78.52116,358.5937,-0.001874588,-0.001130096,0.02508658,351.664,190.7644,75.44315
7530.3108,True,41.64919,11.97814,142.764,4.462705,79.25111,358.6542,-0.001790627,-0.001093895,0.02508025,352.1178,189.6248,78.58786
7545.2708,True,41.6518,11.97617,142.76,5.281338,81.46844,358.8359,-0.001721397,-0.001035339,0.02510564,352.04,188.8725,83.77202
7561.2277,True,41.6519,11.97621,142.7594,5.274058,81.76421,358.8338,-0.001644486,-0.0009869614,0.02517403,352.7904,187.8312,85.25298
7576.1882,True,41.6546,11.97415,142.754,6.072408,84.68262,359.0147,-0.001548813,-0.0008893356,0.02530896,353.3491,185.7389,98.43656
7593.1424,True,41.65445,11.97419,142.7533,6.059157,84.95266,359.0046,-0.001427368,-0.0007182312,0.02566773,353.8371,184.0927,112.8533
7608.1024,True,41.65521,11.97356,142.7509,6.296317,86.21712,359.0534,-0.001511627,-0.0007969894,0.02543157,353.8563,185.5884,95.42953
7624.0597,True,41.65762,11.97165,142.7438,7.01645,89.96648,359.2215,-0.002169746,-0.0008037643,0.02523872,354.1244,193.9815,45.42038
7639.0199,False,41.65728,11.97167,142.7431,7.014074,90.27115,359.175,0,0,0,0,0,0
7653.9804,False,41.6591,11.96991,142.7345,7.678901,94.67878,359.2676,0,0,0,0,0,0
7667.9429,False,41.65869,11.96993,142.7341,7.660405,94.87648,359.2414,0,0,0,0,0,0
7682.9026,False,41.65892,11.96938,142.7309,7.859055,96.498,359.2801,0,0,0,0,0,0
7698.8599,False,41.65984,11.96779,142.7211,8.429719,101.3322,359.3817,0,0,0,0,0,0
7713.8198,False,41.65924,11.96779,142.7207,8.3881,101.459,359.335,0,0,0,0,0,0
7728.7806,False,41.65911,11.96728,142.7172,8.536059,103.1977,359.345,0,0,0,0,0,0
7742.7426,False,41.65909,11.96562,142.7068,8.980217,108.36,359.4127,0,0,0,0,0,0
7758.6998,False,41.6585,11.96565,142.7066,8.938452,108.4416,359.4037,0,0,0,0,0,0
7773.9189,False,41.65776,11.96511,142.7029,9.016854,110.1939,359.453,0,0,0,0,0,0
7791.8709,False,41.65636,11.96351,142.6924,9.27684,115.3759,359.6818,0,0,0,0,0,0
7806.8311,False,41.65581,11.96352,142.6924,9.252614,115.3522,359.7096,0,0,0,0,0,0
7820.7938,False,41.65378,11.96194,142.682,9.417779,120.4246,359.9724,0,0,0,0,0,0
7834.7572,True,41.65319,11.96208,142.6821,9.34459,120.4025,359.9611,-0.003615982,-0.0002889099,0.02585588,0.6682994,210.2389,357.5269
7848.7192,True,41.65197,11.96169,142.6788,9.31455,122.0652,0.03775954,-0.003475334,-0.0002871399,0.02579289,1.438287,209.2594,354.494
7862.6818,True,41.64724,11.95952,142.6621,9.232776,130.3009,0.4319888,-0.00323053,-0.0003127594,0.02566089,1.596345,206.1447,353.1329
