timestamp,ticksSince1970 (100ns),actionId,position.x,position.y,position.z,rotation.x,rotation.y,rotation.z
0,16394915848823101,1,94.14986,0.7654495,0.01,1000
0.0154093,16394915848863275,0,0.8223619,1.27252,-0.2573867,306.0679,180.355,17.44131
0.0154093,16394915848872969,2,0.7847372,0.5998665,-0.3738029,43.20193,260.609,56.46463
0.0154093,16394915848872969,3,0.7900721,0.651832,-0.3814985,2.498836,186.6769,75.17133
0.0154093,16394915848872969,4,0.304,1.05,0.249,-1.930344E-05,-6.374813E-06,3.256098E-05
0.0154093,16394915848883227,5,0.05999997,1.05,0.04699998,-1.187034E-05,2.4844E-07,2.891692E-05
0.0154093,16394915848883227,6,0.239,1.05,-0.206,-2.161136E-05,-1.830574E-06,3.140953E-05
0.1154093,16394915848962734,0,0.8225281,1.272539,-0.2573681,306.0522,180.2702,17.5185
0.1154093,16394915848962734,2,0.7847157,0.59915,-0.3738844,43.19906,260.6283,56.50589
0.1154093,16394915848962734,3,0.7900719,0.6518326,-0.3814986,2.498137,186.677,75.17182
0.1272495,16394915849082407,0,0.8225043,1.272505,-0.2573504,306.0162,180.2648,17.48472
0.1272495,16394915849082407,2,0.7847162,0.5991489,-0.3738845,43.20021,260.628,56.5053
0.1272495,16394915849082407,3,0.790072,0.6518328,-0.3814986,2.498039,186.677,75.17182
0.1393597,16394915849202095,0,0.8224691,1.272532,-0.2572811,306.0165,180.2577,17.48829
0.1393597,16394915849202095,2,0.7847161,0.5991492,-0.3738847,43.19988,260.6278,56.50544
0.1393597,16394915849202095,3,0.7900717,0.6518329,-0.3814987,2.497911,186.6773,75.17149
0.1499967,16394915849311794,0,0.8224632,1.272533,-0.2572931,306.0243,180.2625,17.49098
0.1499967,16394915849311794,3,0.7900718,0.6518327,-0.3814986,2.49807,186.677,75.17175
0.1620786,16394915849421499,0,0.8224504,1.272539,-0.2573126,306.0335,180.2781,17.48502
0.1620786,16394915849421499,2,0.7847162,0.5991489,-0.3738845,43.20021,260.628,56.5053
0.1620786,16394915849421499,3,0.7900719,0.6518326,-0.3814986,2.49814,186.677,75.17178
0.1757786,16394915849561127,0,0.8224072,1.272538,-0.2573455,306.0452,180.291,17.47367
0.1757786,16394915849561127,2,0.7847156,0.5991501,-0.3738844,43.19901,260.6283,56.50589
0.1757786,16394915849561127,3,0.7900719,0.6518328,-0.3814986,2.497992,186.677,75.17191
0.1879773,16394915849690782,0,0.82241,1.272535,-0.2573635,306.0529,180.3114,17.46039
0.1879773,16394915849690782,2,0.7847146,0.5991521,-0.3738844,43.19699,260.6285,56.50625
